"dt_evoluca","n.casos"
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,9
2020-04-05,7
2020-04-12,13
2020-04-19,5
2020-04-26,9
2020-05-03,6
2020-05-10,5
2020-05-17,11
2020-05-24,4
2020-05-31,4
2020-06-07,10
2020-06-14,8
2020-06-21,10
2020-06-28,10
2020-07-05,7
2020-07-12,21
2020-07-19,16
2020-07-26,20
2020-08-02,25
2020-08-09,23
2020-08-16,22
2020-08-23,18
2020-08-30,20
2020-09-06,17
2020-09-13,19
2020-09-20,15
2020-09-27,21
2020-10-04,20
2020-10-11,20
2020-10-18,20
2020-10-25,16
2020-11-01,8
2020-11-08,8
2020-11-15,10
2020-11-22,13
2020-11-29,8
2020-12-06,12
2020-12-13,8
2020-12-20,11
2020-12-27,17
2021-01-03,15
2021-01-10,24
2021-01-17,21
2021-01-24,20
2021-01-31,23
2021-02-07,29
2021-02-14,21
2021-02-21,11
2021-02-28,27
2021-03-07,30
2021-03-14,37
2021-03-21,47
2021-03-28,63
2021-04-04,58
2021-04-11,46
2021-04-18,43
2021-04-25,43
2021-05-02,32
2021-05-09,35
2021-05-16,36
2021-05-23,38
2021-05-30,37
2021-06-06,45
2021-06-13,50
2021-06-20,61
2021-06-27,46
2021-07-04,51
2021-07-11,28
2021-07-18,29
2021-07-25,30
2021-08-01,28
2021-08-08,19
2021-08-15,17
2021-08-22,9
2021-08-29,10
2021-09-05,9
2021-09-12,7
2021-09-19,2
2021-09-26,3
