"dt_sin_pri","n.casos"
2020-03-22,5
2020-03-29,6
2020-04-05,4
2020-04-12,7
2020-04-19,8
2020-04-26,16
2020-05-03,11
2020-05-10,11
2020-05-17,19
2020-05-24,8
2020-05-31,23
2020-06-07,30
2020-06-14,26
2020-06-21,29
2020-06-28,47
2020-07-05,38
2020-07-12,55
2020-07-19,61
2020-07-26,65
2020-08-02,59
2020-08-09,40
2020-08-16,54
2020-08-23,44
2020-08-30,51
2020-09-06,64
2020-09-13,56
2020-09-20,66
2020-09-27,49
2020-10-04,50
2020-10-11,44
2020-10-18,36
2020-10-25,25
2020-11-01,26
2020-11-08,19
2020-11-15,43
2020-11-22,29
2020-11-29,39
2020-12-06,34
2020-12-13,34
2020-12-20,40
2020-12-27,64
2021-01-03,82
2021-01-10,79
2021-01-17,55
2021-01-24,62
2021-01-31,57
2021-02-07,56
2021-02-14,71
2021-02-21,97
2021-02-28,64
2021-03-07,93
2021-03-14,159
2021-03-21,166
2021-03-28,121
2021-04-04,109
2021-04-11,115
2021-04-18,103
2021-04-25,84
2021-05-02,114
2021-05-09,120
2021-05-16,131
2021-05-23,156
2021-05-30,193
2021-06-06,205
2021-06-13,154
2021-06-20,125
2021-06-27,106
2021-07-04,85
2021-07-11,46
2021-07-18,64
2021-07-25,33
2021-08-01,30
2021-08-08,13
2021-08-15,14
2021-08-22,4
2021-08-29,4
2021-09-05,3
2021-09-12,4
2021-09-19,5
2021-09-26,1
2021-10-03,3
2021-10-10,2
2021-10-17,1
