"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,3,NA,NA,NA,3,NA,NA,NA
2020-04-19,5,NA,NA,NA,5,NA,NA,NA
2020-04-26,6,NA,NA,NA,6,NA,NA,NA
2020-05-10,8,NA,NA,NA,8,NA,NA,NA
2020-05-17,9,NA,NA,NA,9,NA,NA,NA
2020-05-24,10,NA,NA,NA,10,NA,NA,NA
2020-05-31,11,NA,NA,NA,11,NA,NA,NA
2020-06-07,12,NA,NA,NA,12,NA,NA,NA
2020-06-14,15,NA,NA,NA,15,NA,NA,NA
2020-06-21,16,NA,NA,NA,16,NA,NA,NA
2020-06-28,19,NA,NA,NA,19,NA,NA,NA
2020-07-05,22,NA,NA,NA,22,NA,NA,NA
2020-07-12,24,NA,NA,NA,24,NA,NA,NA
2020-07-26,31,NA,NA,NA,31,NA,NA,NA
2020-08-02,35,NA,NA,NA,35,NA,NA,NA
2020-08-09,41,NA,NA,NA,41,NA,NA,NA
2020-08-16,48,NA,NA,NA,48,NA,NA,NA
2020-08-23,54,NA,NA,NA,54,NA,NA,NA
2020-08-30,59,NA,NA,NA,59,NA,NA,NA
2020-09-06,61,NA,NA,NA,61,NA,NA,NA
2020-09-13,63,NA,NA,NA,63,NA,NA,NA
2020-09-20,68,NA,NA,NA,68,NA,NA,NA
2020-09-27,73,NA,NA,NA,73,NA,NA,NA
2020-10-04,77,NA,NA,NA,77,NA,NA,NA
2020-10-11,83,NA,NA,NA,83,NA,NA,NA
2020-10-18,86,NA,NA,NA,86,NA,NA,NA
2020-10-25,90,NA,NA,NA,90,NA,NA,NA
2020-11-01,92,NA,NA,NA,92,NA,NA,NA
2020-11-08,93,NA,NA,NA,93,NA,NA,NA
2020-11-15,96,NA,NA,NA,96,NA,NA,NA
2020-11-22,99,NA,NA,NA,99,NA,NA,NA
2020-11-29,102,NA,NA,NA,102,NA,NA,NA
2020-12-06,110,NA,NA,NA,110,NA,NA,NA
2020-12-13,117,NA,NA,NA,117,NA,NA,NA
2020-12-20,126,NA,NA,NA,126,NA,NA,NA
2020-12-27,132,NA,NA,NA,132,NA,NA,NA
2021-01-03,143,NA,NA,NA,143,NA,NA,NA
2021-01-10,154,NA,NA,NA,154,NA,NA,NA
2021-01-17,169,NA,NA,NA,169,NA,NA,NA
2021-01-24,184,NA,NA,NA,184,NA,NA,NA
2021-01-31,208,NA,NA,NA,208,NA,NA,NA
2021-02-07,231,NA,NA,NA,231,NA,NA,NA
2021-02-14,256,NA,NA,NA,256,NA,NA,NA
2021-02-21,299,NA,NA,NA,299,NA,NA,NA
2021-02-28,341,NA,NA,NA,341,NA,NA,NA
2021-03-07,374,NA,NA,NA,374,NA,NA,NA
2021-03-14,417,NA,NA,NA,417,NA,NA,NA
2021-03-21,467,NA,NA,NA,467,NA,NA,NA
2021-03-28,492,NA,NA,NA,492,NA,NA,NA
2021-04-04,502,NA,NA,NA,502,NA,NA,NA
2021-04-11,512,NA,NA,NA,512,NA,NA,NA
2021-04-18,529,NA,NA,NA,529,NA,NA,NA
2021-04-25,540,NA,NA,NA,540,NA,NA,NA
2021-05-02,554,NA,NA,NA,554,NA,NA,NA
2021-05-09,576,NA,NA,NA,576,NA,NA,NA
2021-05-16,608,NA,NA,NA,608,NA,NA,NA
2021-05-23,637,NA,NA,NA,637,NA,NA,NA
2021-05-30,688,NA,NA,NA,688,NA,NA,NA
2021-06-06,725,NA,NA,NA,725,NA,NA,NA
2021-06-13,748,NA,NA,NA,748,NA,NA,NA
2021-06-20,774,NA,NA,NA,774,NA,NA,NA
2021-06-27,805,NA,NA,NA,805,NA,NA,NA
2021-07-04,827,NA,NA,NA,827,NA,NA,NA
2021-07-11,839,NA,NA,NA,839,NA,NA,NA
2021-07-18,844,NA,NA,NA,844,NA,NA,NA
2021-07-25,853,NA,NA,NA,853,NA,NA,NA
2021-08-01,864,NA,NA,NA,864,NA,NA,NA
2021-08-08,867,NA,NA,NA,867,NA,NA,NA
2021-08-15,870,NA,NA,NA,870,NA,NA,NA
2021-08-22,870,NA,NA,NA,870,NA,NA,NA
2021-08-29,874,NA,NA,NA,874,NA,NA,NA
2021-09-05,875,NA,NA,NA,875,NA,NA,NA
2021-09-12,877,NA,NA,NA,878,NA,NA,NA
2021-09-19,880,NA,NA,NA,880,NA,NA,NA
2021-09-26,882,882,879,902,881,881,881,881
2021-10-03,NA,885,880,910,NA,881,881,882
