"dt_notific","n.notific"
2020-01-12,2
2020-01-19,1
2020-01-26,1
2020-02-09,2
2020-02-16,2
2020-02-23,4
2020-03-08,1
2020-03-15,6
2020-03-22,11
2020-03-29,11
2020-04-05,10
2020-04-12,12
2020-04-19,7
2020-04-26,6
2020-05-03,12
2020-05-10,2
2020-05-17,9
2020-05-24,13
2020-05-31,11
2020-06-07,14
2020-06-14,6
2020-06-21,13
2020-06-28,11
2020-07-05,14
2020-07-12,15
2020-07-19,31
2020-07-26,29
2020-08-02,28
2020-08-09,43
2020-08-16,24
2020-08-23,35
2020-08-30,31
2020-09-06,25
2020-09-13,51
2020-09-20,38
2020-09-27,43
2020-10-04,44
2020-10-11,39
2020-10-18,23
2020-10-25,18
2020-11-01,13
2020-11-08,21
2020-11-15,13
2020-11-22,16
2020-11-29,15
2020-12-06,11
2020-12-13,12
2020-12-20,5
2020-12-27,22
2021-01-03,34
2021-01-10,34
2021-01-17,61
2021-01-24,60
2021-01-31,47
2021-02-07,66
2021-02-14,63
2021-02-21,42
2021-02-28,41
2021-03-07,44
2021-03-14,45
2021-03-21,26
2021-03-28,10
2021-04-04,34
2021-04-11,32
2021-04-18,57
2021-04-25,46
2021-05-02,51
2021-05-09,71
2021-05-16,77
2021-05-23,62
2021-05-30,89
2021-06-06,83
2021-06-13,83
2021-06-20,91
2021-06-27,66
2021-07-04,36
2021-07-11,28
2021-07-18,50
2021-07-25,45
2021-08-01,39
2021-08-08,51
2021-08-15,26
2021-08-22,28
2021-08-29,33
2021-09-05,39
2021-09-12,24
2021-09-19,26
2021-09-26,38
2021-10-03,14
