"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-05-24,2,NA,2,NA,NA,NA
2020-07-12,1,NA,1,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-08-02,1,NA,1,NA,NA,NA
2020-08-16,1,NA,1,NA,NA,NA
2020-08-23,1,NA,1,NA,NA,NA
2020-08-30,1,NA,1,NA,NA,NA
2020-09-06,1,NA,1,NA,NA,NA
2020-09-13,1,NA,1,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,7,NA,7,NA,NA,NA
2020-11-29,9,NA,9,NA,NA,NA
2020-12-06,12,NA,12,NA,NA,NA
2020-12-13,5,NA,5,NA,NA,NA
2020-12-20,6,NA,6,NA,NA,NA
2020-12-27,5,NA,5,NA,NA,NA
2021-01-03,5,NA,5,NA,NA,NA
2021-01-10,6,NA,6,NA,NA,NA
2021-01-17,2,NA,2,NA,NA,NA
2021-01-24,5,NA,5,NA,NA,NA
2021-01-31,1,NA,1,NA,NA,NA
2021-02-14,5,NA,5,NA,NA,NA
2021-02-21,9,NA,9,NA,NA,NA
2021-02-28,9,NA,9,NA,NA,NA
2021-03-07,7,NA,7,NA,NA,NA
2021-03-14,10,NA,10,NA,NA,NA
2021-03-21,16,NA,16,NA,NA,NA
2021-03-28,16,NA,16,NA,NA,NA
2021-04-04,14,NA,14,NA,NA,NA
2021-04-11,14,NA,14,NA,NA,NA
2021-04-18,7,NA,7,NA,NA,NA
2021-04-25,10,NA,10,NA,NA,NA
2021-05-02,15,NA,15,NA,NA,NA
2021-05-09,16,NA,16,NA,NA,NA
2021-05-16,17,NA,17,NA,NA,NA
2021-05-23,17,NA,17,NA,NA,NA
2021-05-30,21,NA,21,NA,NA,NA
2021-06-06,27,NA,27,NA,NA,NA
2021-06-13,27,NA,27,NA,NA,NA
2021-06-20,17,NA,16,NA,NA,NA
2021-06-27,NA,23,23,NA,23,26
2021-07-04,NA,19,19,NA,19,22
2021-07-11,NA,13,13,NA,13,15
2021-07-18,NA,8,8,NA,8,10
2021-07-25,NA,6,6,NA,6,7
2021-08-01,NA,0,0,NA,0,1
2021-08-08,NA,4,4,NA,4,6
2021-08-15,NA,1,1,NA,1,3
2021-08-22,NA,1,1,NA,0,4
