"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,7,NA,7,NA,NA,NA
2020-03-22,24,NA,24,NA,NA,NA
2020-03-29,37,NA,37,NA,NA,NA
2020-04-05,51,NA,51,NA,NA,NA
2020-04-12,53,NA,53,NA,NA,NA
2020-04-19,66,NA,66,NA,NA,NA
2020-04-26,102,NA,102,NA,NA,NA
2020-05-03,117,NA,117,NA,NA,NA
2020-05-10,130,NA,130,NA,NA,NA
2020-05-17,144,NA,144,NA,NA,NA
2020-05-24,139,NA,139,NA,NA,NA
2020-05-31,111,NA,111,NA,NA,NA
2020-06-07,110,NA,110,NA,NA,NA
2020-06-14,119,NA,119,NA,NA,NA
2020-06-21,88,NA,88,NA,NA,NA
2020-06-28,70,NA,70,NA,NA,NA
2020-07-05,56,NA,56,NA,NA,NA
2020-07-12,74,NA,74,NA,NA,NA
2020-07-19,69,NA,69,NA,NA,NA
2020-07-26,44,NA,44,NA,NA,NA
2020-08-02,48,NA,48,NA,NA,NA
2020-08-09,48,NA,48,NA,NA,NA
2020-08-16,76,NA,76,NA,NA,NA
2020-08-23,57,NA,57,NA,NA,NA
2020-08-30,54,NA,54,NA,NA,NA
2020-09-06,59,NA,59,NA,NA,NA
2020-09-13,43,NA,43,NA,NA,NA
2020-09-20,50,NA,50,NA,NA,NA
2020-09-27,37,NA,37,NA,NA,NA
2020-10-04,33,NA,33,NA,NA,NA
2020-10-11,41,NA,41,NA,NA,NA
2020-10-18,34,NA,34,NA,NA,NA
2020-10-25,56,NA,56,NA,NA,NA
2020-11-01,57,NA,57,NA,NA,NA
2020-11-08,61,NA,61,NA,NA,NA
2020-11-15,84,NA,84,NA,NA,NA
2020-11-22,60,NA,60,NA,NA,NA
2020-11-29,66,NA,66,NA,NA,NA
2020-12-06,65,NA,65,NA,NA,NA
2020-12-13,66,NA,66,NA,NA,NA
2020-12-20,62,NA,62,NA,NA,NA
2020-12-27,40,NA,40,NA,NA,NA
2021-01-03,48,NA,48,NA,NA,NA
2021-01-10,43,NA,43,NA,NA,NA
2021-01-17,31,NA,31,NA,NA,NA
2021-01-24,37,NA,37,NA,NA,NA
2021-01-31,35,NA,35,NA,NA,NA
2021-02-07,43,NA,43,NA,NA,NA
2021-02-14,48,NA,48,NA,NA,NA
2021-02-21,59,NA,59,NA,NA,NA
2021-02-28,44,NA,44,NA,NA,NA
2021-03-07,80,NA,80,NA,NA,NA
2021-03-14,113,NA,113,NA,NA,NA
2021-03-21,157,NA,157,NA,NA,NA
2021-03-28,106,NA,106,NA,NA,NA
2021-04-04,122,NA,122,NA,NA,NA
2021-04-11,103,NA,103,NA,NA,NA
2021-04-18,79,NA,79,NA,NA,NA
2021-04-25,72,NA,72,NA,NA,NA
2021-05-02,67,NA,67,NA,NA,NA
2021-05-09,62,NA,62,NA,NA,NA
2021-05-16,53,NA,53,NA,NA,NA
2021-05-23,67,NA,67,NA,NA,NA
2021-05-30,55,NA,55,NA,NA,NA
2021-06-06,72,NA,72,NA,NA,NA
2021-06-13,60,NA,60,NA,NA,NA
2021-06-20,41,NA,41,NA,NA,NA
2021-06-27,32,NA,32,NA,NA,NA
2021-07-04,23,NA,23,NA,NA,NA
2021-07-11,22,NA,22,NA,NA,NA
2021-07-18,12,NA,12,NA,NA,NA
2021-07-25,10,NA,10,NA,NA,NA
2021-08-01,19,NA,19,NA,NA,NA
2021-08-08,13,NA,13,NA,NA,NA
2021-08-15,17,NA,15,NA,NA,NA
2021-08-22,NA,8,8,NA,8,8
2021-08-29,NA,16,16,NA,16,16
2021-09-05,NA,9,9,NA,9,11
2021-09-12,NA,17,17,NA,16,20
2021-09-19,NA,10,10,NA,8,13
2021-09-26,NA,22,22,NA,19,27
2021-10-03,NA,11,11,NA,7,17
2021-10-10,NA,10,10,NA,6,17
2021-10-17,NA,11,11,NA,4,21
