"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,1,NA,1,NA,NA,NA
2020-04-05,3,NA,3,NA,NA,NA
2020-04-12,3,NA,3,NA,NA,NA
2020-04-19,4,NA,4,NA,NA,NA
2020-04-26,10,NA,10,NA,NA,NA
2020-05-03,10,NA,10,NA,NA,NA
2020-05-10,17,NA,17,NA,NA,NA
2020-05-17,24,NA,24,NA,NA,NA
2020-05-24,25,NA,25,NA,NA,NA
2020-05-31,32,NA,32,NA,NA,NA
2020-06-07,26,NA,26,NA,NA,NA
2020-06-14,37,NA,37,NA,NA,NA
2020-06-21,26,NA,26,NA,NA,NA
2020-06-28,37,NA,37,NA,NA,NA
2020-07-05,16,NA,16,NA,NA,NA
2020-07-12,19,NA,19,NA,NA,NA
2020-07-19,20,NA,20,NA,NA,NA
2020-07-26,15,NA,15,NA,NA,NA
2020-08-02,12,NA,12,NA,NA,NA
2020-08-09,12,NA,12,NA,NA,NA
2020-08-16,9,NA,9,NA,NA,NA
2020-08-23,11,NA,11,NA,NA,NA
2020-08-30,10,NA,10,NA,NA,NA
2020-09-06,20,NA,20,NA,NA,NA
2020-09-13,13,NA,13,NA,NA,NA
2020-09-20,15,NA,15,NA,NA,NA
2020-09-27,7,NA,7,NA,NA,NA
2020-10-04,7,NA,7,NA,NA,NA
2020-10-11,4,NA,4,NA,NA,NA
2020-10-18,7,NA,7,NA,NA,NA
2020-10-25,6,NA,6,NA,NA,NA
2020-11-01,8,NA,8,NA,NA,NA
2020-11-08,10,NA,10,NA,NA,NA
2020-11-15,8,NA,8,NA,NA,NA
2020-11-22,13,NA,13,NA,NA,NA
2020-11-29,8,NA,8,NA,NA,NA
2020-12-06,22,NA,22,NA,NA,NA
2020-12-13,14,NA,14,NA,NA,NA
2020-12-20,10,NA,10,NA,NA,NA
2020-12-27,12,NA,12,NA,NA,NA
2021-01-03,10,NA,10,NA,NA,NA
2021-01-10,13,NA,13,NA,NA,NA
2021-01-17,10,NA,10,NA,NA,NA
2021-01-24,6,NA,6,NA,NA,NA
2021-01-31,10,NA,10,NA,NA,NA
2021-02-07,6,NA,6,NA,NA,NA
2021-02-14,10,NA,10,NA,NA,NA
2021-02-21,8,NA,8,NA,NA,NA
2021-02-28,6,NA,6,NA,NA,NA
2021-03-07,13,NA,13,NA,NA,NA
2021-03-14,14,NA,14,NA,NA,NA
2021-03-21,38,NA,38,NA,NA,NA
2021-03-28,49,NA,49,NA,NA,NA
2021-04-04,60,NA,60,NA,NA,NA
2021-04-11,54,NA,54,NA,NA,NA
2021-04-18,59,NA,59,NA,NA,NA
2021-04-25,47,NA,47,NA,NA,NA
2021-05-02,28,NA,28,NA,NA,NA
2021-05-09,35,NA,35,NA,NA,NA
2021-05-16,27,NA,27,NA,NA,NA
2021-05-23,24,NA,24,NA,NA,NA
2021-05-30,30,NA,30,NA,NA,NA
2021-06-06,25,NA,25,NA,NA,NA
2021-06-13,25,NA,25,NA,NA,NA
2021-06-20,28,NA,28,NA,NA,NA
2021-06-27,20,NA,20,NA,NA,NA
2021-07-04,14,NA,14,NA,NA,NA
2021-07-11,20,NA,20,NA,NA,NA
2021-07-18,13,NA,13,NA,NA,NA
2021-07-25,9,NA,9,NA,NA,NA
2021-08-01,4,NA,4,NA,NA,NA
2021-08-08,6,NA,6,NA,NA,NA
2021-08-15,2,NA,2,NA,NA,NA
2021-08-22,NA,1,1,NA,1,1
2021-08-29,NA,5,5,NA,5,5
2021-09-05,NA,5,5,NA,5,6
2021-09-12,NA,1,1,NA,1,3
2021-09-19,NA,1,1,NA,1,3
2021-09-26,NA,2,2,NA,2,5
2021-10-03,NA,0,0,NA,0,3
2021-10-10,NA,1,1,NA,0,4
2021-10-17,NA,1,1,NA,0,5
