"dt_evoluca","n.casos"
2020-03-29,1
2020-04-05,1
2020-04-12,3
2020-04-26,5
2020-05-03,6
2020-05-10,3
2020-05-17,8
2020-05-24,7
2020-05-31,7
2020-06-07,12
2020-06-14,11
2020-06-21,19
2020-06-28,12
2020-07-05,24
2020-07-12,26
2020-07-19,31
2020-07-26,32
2020-08-02,28
2020-08-09,35
2020-08-16,36
2020-08-23,29
2020-08-30,24
2020-09-06,20
2020-09-13,16
2020-09-20,26
2020-09-27,15
2020-10-04,14
2020-10-11,9
2020-10-18,5
2020-10-25,1
2020-11-01,7
2020-11-08,7
2020-11-15,8
2020-11-22,7
2020-11-29,4
2020-12-06,14
2020-12-13,16
2020-12-20,12
2020-12-27,16
2021-01-03,27
2021-01-10,23
2021-01-17,40
2021-01-24,51
2021-01-31,37
2021-02-07,38
2021-02-14,28
2021-02-21,21
2021-02-28,21
2021-03-07,20
2021-03-14,29
2021-03-21,34
2021-03-28,54
2021-04-04,50
2021-04-11,54
2021-04-18,65
2021-04-25,49
2021-05-02,52
2021-05-09,68
2021-05-16,57
2021-05-23,61
2021-05-30,78
2021-06-06,59
2021-06-13,62
2021-06-20,55
2021-06-27,48
2021-07-04,34
2021-07-11,30
2021-07-18,26
2021-07-25,16
2021-08-01,12
2021-08-08,16
2021-08-15,15
2021-08-22,9
2021-08-29,11
2021-09-05,6
2021-09-12,6
2021-09-19,6
2021-09-26,7
2021-10-03,9
2021-10-10,2
2021-10-17,2
2021-10-24,3
