"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-15,5
2020-03-22,10
2020-03-29,24
2020-04-05,19
2020-04-12,20
2020-04-19,22
2020-04-26,30
2020-05-03,15
2020-05-10,17
2020-05-17,33
2020-05-24,23
2020-05-31,17
2020-06-07,28
2020-06-14,20
2020-06-21,21
2020-06-28,35
2020-07-05,22
2020-07-12,21
2020-07-19,31
2020-07-26,24
2020-08-02,29
2020-08-09,27
2020-08-16,32
2020-08-23,35
2020-08-30,33
2020-09-06,22
2020-09-13,22
2020-09-20,31
2020-09-27,20
2020-10-04,28
2020-10-11,16
2020-10-18,14
2020-10-25,19
2020-11-01,12
2020-11-08,28
2020-11-15,22
2020-11-22,32
2020-11-29,23
2020-12-06,35
2020-12-13,26
2020-12-20,31
2020-12-27,33
2021-01-03,38
2021-01-10,32
2021-01-17,48
2021-01-24,65
2021-01-31,44
2021-02-07,33
2021-02-14,39
2021-02-21,53
2021-02-28,56
2021-03-07,63
2021-03-14,69
2021-03-21,48
2021-03-28,58
2021-04-04,53
2021-04-11,54
2021-04-18,37
2021-04-25,47
2021-05-02,62
2021-05-09,54
2021-05-16,78
2021-05-23,76
2021-05-30,65
2021-06-06,59
2021-06-13,48
2021-06-20,47
2021-06-27,37
2021-07-04,32
2021-07-11,32
2021-07-18,35
2021-07-25,42
2021-08-01,31
2021-08-08,57
2021-08-15,33
2021-08-22,50
2021-08-29,57
2021-09-05,39
2021-09-12,39
2021-09-19,38
2021-09-26,33
2021-10-03,37
2021-10-10,27
2021-10-17,36
2021-10-24,20
2021-10-31,5
