"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-12,1,NA,1,NA,NA,NA
2020-04-19,5,NA,5,NA,NA,NA
2020-04-26,2,NA,2,NA,NA,NA
2020-05-03,2,NA,2,NA,NA,NA
2020-05-10,1,NA,1,NA,NA,NA
2020-05-17,4,NA,4,NA,NA,NA
2020-05-24,2,NA,2,NA,NA,NA
2020-05-31,7,NA,7,NA,NA,NA
2020-06-07,3,NA,3,NA,NA,NA
2020-06-14,6,NA,6,NA,NA,NA
2020-06-21,7,NA,7,NA,NA,NA
2020-06-28,12,NA,12,NA,NA,NA
2020-07-05,20,NA,20,NA,NA,NA
2020-07-12,22,NA,22,NA,NA,NA
2020-07-19,21,NA,21,NA,NA,NA
2020-07-26,21,NA,21,NA,NA,NA
2020-08-02,16,NA,16,NA,NA,NA
2020-08-09,12,NA,12,NA,NA,NA
2020-08-16,11,NA,11,NA,NA,NA
2020-08-23,10,NA,10,NA,NA,NA
2020-08-30,17,NA,17,NA,NA,NA
2020-09-06,13,NA,13,NA,NA,NA
2020-09-13,8,NA,8,NA,NA,NA
2020-09-20,10,NA,10,NA,NA,NA
2020-09-27,8,NA,8,NA,NA,NA
2020-10-04,15,NA,15,NA,NA,NA
2020-10-11,14,NA,14,NA,NA,NA
2020-10-18,10,NA,10,NA,NA,NA
2020-10-25,14,NA,14,NA,NA,NA
2020-11-01,5,NA,5,NA,NA,NA
2020-11-08,9,NA,9,NA,NA,NA
2020-11-15,6,NA,6,NA,NA,NA
2020-11-22,3,NA,3,NA,NA,NA
2020-11-29,6,NA,6,NA,NA,NA
2020-12-06,9,NA,9,NA,NA,NA
2020-12-13,3,NA,3,NA,NA,NA
2020-12-20,4,NA,4,NA,NA,NA
2020-12-27,5,NA,5,NA,NA,NA
2021-01-03,6,NA,6,NA,NA,NA
2021-01-10,15,NA,15,NA,NA,NA
2021-01-17,17,NA,17,NA,NA,NA
2021-01-24,4,NA,4,NA,NA,NA
2021-01-31,17,NA,17,NA,NA,NA
2021-02-07,11,NA,11,NA,NA,NA
2021-02-14,14,NA,14,NA,NA,NA
2021-02-21,9,NA,9,NA,NA,NA
2021-02-28,22,NA,22,NA,NA,NA
2021-03-07,20,NA,20,NA,NA,NA
2021-03-14,44,NA,44,NA,NA,NA
2021-03-21,51,NA,51,NA,NA,NA
2021-03-28,45,NA,45,NA,NA,NA
2021-04-04,48,NA,48,NA,NA,NA
2021-04-11,42,NA,42,NA,NA,NA
2021-04-18,34,NA,34,NA,NA,NA
2021-04-25,33,NA,33,NA,NA,NA
2021-05-02,23,NA,23,NA,NA,NA
2021-05-09,13,NA,13,NA,NA,NA
2021-05-16,19,NA,19,NA,NA,NA
2021-05-23,15,NA,15,NA,NA,NA
2021-05-30,18,NA,18,NA,NA,NA
2021-06-06,22,NA,22,NA,NA,NA
2021-06-13,17,NA,17,NA,NA,NA
2021-06-20,22,NA,22,NA,NA,NA
2021-06-27,28,NA,28,NA,NA,NA
2021-07-04,20,NA,20,NA,NA,NA
2021-07-11,24,NA,24,NA,NA,NA
2021-07-18,16,NA,16,NA,NA,NA
2021-07-25,NA,16,16,NA,16,18
2021-08-01,NA,18,18,NA,18,20
2021-08-08,NA,15,15,NA,15,17
2021-08-15,NA,15,15,NA,15,17
2021-08-22,NA,11,11,NA,11,13
2021-08-29,NA,5,5,NA,5,7
2021-09-05,NA,8,8,NA,8,10
2021-09-12,NA,6,6,NA,6,8
2021-09-19,NA,3,3,NA,1,7
