"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,2,NA,NA,NA,2,NA,NA,NA
2020-03-29,6,NA,NA,NA,6,NA,NA,NA
2020-04-05,9,NA,NA,NA,9,NA,NA,NA
2020-04-12,11,NA,NA,NA,11,NA,NA,NA
2020-04-19,14,NA,NA,NA,14,NA,NA,NA
2020-04-26,16,NA,NA,NA,16,NA,NA,NA
2020-05-03,19,NA,NA,NA,19,NA,NA,NA
2020-05-24,20,NA,NA,NA,20,NA,NA,NA
2020-06-07,21,NA,NA,NA,21,NA,NA,NA
2020-06-14,22,NA,NA,NA,22,NA,NA,NA
2020-07-05,23,NA,NA,NA,23,NA,NA,NA
2020-07-12,25,NA,NA,NA,25,NA,NA,NA
2020-07-19,27,NA,NA,NA,27,NA,NA,NA
2020-07-26,29,NA,NA,NA,29,NA,NA,NA
2020-08-02,33,NA,NA,NA,33,NA,NA,NA
2020-08-09,36,NA,NA,NA,36,NA,NA,NA
2020-08-16,41,NA,NA,NA,41,NA,NA,NA
2020-08-23,43,NA,NA,NA,43,NA,NA,NA
2020-08-30,45,NA,NA,NA,45,NA,NA,NA
2020-09-06,46,NA,NA,NA,46,NA,NA,NA
2020-09-13,48,NA,NA,NA,48,NA,NA,NA
2020-09-20,51,NA,NA,NA,51,NA,NA,NA
2020-09-27,54,NA,NA,NA,54,NA,NA,NA
2020-10-04,57,NA,NA,NA,57,NA,NA,NA
2020-10-11,58,NA,NA,NA,58,NA,NA,NA
2020-10-18,60,NA,NA,NA,60,NA,NA,NA
2020-10-25,64,NA,NA,NA,64,NA,NA,NA
2020-11-01,65,NA,NA,NA,65,NA,NA,NA
2020-11-08,66,NA,NA,NA,66,NA,NA,NA
2020-11-15,68,NA,NA,NA,68,NA,NA,NA
2020-11-22,71,NA,NA,NA,71,NA,NA,NA
2020-11-29,73,NA,NA,NA,73,NA,NA,NA
2020-12-06,74,NA,NA,NA,74,NA,NA,NA
2020-12-13,77,NA,NA,NA,77,NA,NA,NA
2020-12-20,86,NA,NA,NA,86,NA,NA,NA
2020-12-27,91,NA,NA,NA,91,NA,NA,NA
2021-01-03,93,NA,NA,NA,93,NA,NA,NA
2021-01-10,95,NA,NA,NA,95,NA,NA,NA
2021-01-17,98,NA,NA,NA,98,NA,NA,NA
2021-01-24,105,NA,NA,NA,105,NA,NA,NA
2021-01-31,108,NA,NA,NA,108,NA,NA,NA
2021-02-07,113,NA,NA,NA,113,NA,NA,NA
2021-02-14,120,NA,NA,NA,120,NA,NA,NA
2021-02-21,127,NA,NA,NA,127,NA,NA,NA
2021-02-28,135,NA,NA,NA,135,NA,NA,NA
2021-03-07,141,NA,NA,NA,141,NA,NA,NA
2021-03-14,158,NA,NA,NA,158,NA,NA,NA
2021-03-21,171,NA,NA,NA,171,NA,NA,NA
2021-03-28,187,NA,NA,NA,187,NA,NA,NA
2021-04-04,214,NA,NA,NA,214,NA,NA,NA
2021-04-11,230,NA,NA,NA,230,NA,NA,NA
2021-04-18,247,NA,NA,NA,247,NA,NA,NA
2021-04-25,263,NA,NA,NA,263,NA,NA,NA
2021-05-02,286,NA,NA,NA,286,NA,NA,NA
2021-05-09,306,NA,NA,NA,306,NA,NA,NA
2021-05-16,325,NA,NA,NA,325,NA,NA,NA
2021-05-23,343,NA,NA,NA,343,NA,NA,NA
2021-05-30,365,NA,NA,NA,365,NA,NA,NA
2021-06-06,392,NA,NA,NA,392,NA,NA,NA
2021-06-13,426,NA,NA,NA,426,NA,NA,NA
2021-06-20,445,NA,NA,NA,445,NA,NA,NA
2021-06-27,464,NA,NA,NA,464,NA,NA,NA
2021-07-04,477,NA,NA,NA,477,NA,NA,NA
2021-07-11,487,NA,NA,NA,487,NA,NA,NA
2021-07-18,497,NA,NA,NA,497,NA,NA,NA
2021-07-25,502,NA,NA,NA,502,NA,NA,NA
2021-08-01,506,NA,NA,NA,506,NA,NA,NA
2021-08-08,513,NA,NA,NA,513,NA,NA,NA
2021-08-15,523,NA,NA,NA,523,NA,NA,NA
2021-08-22,525,NA,NA,NA,525,NA,NA,NA
2021-08-29,530,NA,NA,NA,530,NA,NA,NA
2021-09-05,536,NA,NA,NA,536,NA,NA,NA
2021-09-12,542,542,539,558,539,539,539,539
2021-09-19,NA,548,544,568,NA,540,539,540
