"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-26,8,NA,NA,NA,8,NA,NA,NA
2020-05-03,9,NA,NA,NA,9,NA,NA,NA
2020-05-17,10,NA,NA,NA,10,NA,NA,NA
2020-06-14,11,NA,NA,NA,11,NA,NA,NA
2020-06-28,13,NA,NA,NA,13,NA,NA,NA
2020-07-05,17,NA,NA,NA,17,NA,NA,NA
2020-07-12,19,NA,NA,NA,19,NA,NA,NA
2020-07-19,21,NA,NA,NA,21,NA,NA,NA
2020-07-26,27,NA,NA,NA,27,NA,NA,NA
2020-08-02,28,NA,NA,NA,28,NA,NA,NA
2020-08-09,32,NA,NA,NA,32,NA,NA,NA
2020-08-16,37,NA,NA,NA,37,NA,NA,NA
2020-08-23,40,NA,NA,NA,40,NA,NA,NA
2020-08-30,43,NA,NA,NA,43,NA,NA,NA
2020-09-06,50,NA,NA,NA,50,NA,NA,NA
2020-09-13,55,NA,NA,NA,55,NA,NA,NA
2020-09-20,63,NA,NA,NA,63,NA,NA,NA
2020-10-04,64,NA,NA,NA,64,NA,NA,NA
2020-10-11,67,NA,NA,NA,67,NA,NA,NA
2020-10-18,69,NA,NA,NA,69,NA,NA,NA
2020-11-01,72,NA,NA,NA,72,NA,NA,NA
2020-11-22,73,NA,NA,NA,73,NA,NA,NA
2020-11-29,74,NA,NA,NA,74,NA,NA,NA
2020-12-06,75,NA,NA,NA,75,NA,NA,NA
2020-12-27,77,NA,NA,NA,77,NA,NA,NA
2021-01-03,78,NA,NA,NA,78,NA,NA,NA
2021-01-10,80,NA,NA,NA,80,NA,NA,NA
2021-01-31,82,NA,NA,NA,82,NA,NA,NA
2021-02-14,83,NA,NA,NA,83,NA,NA,NA
2021-02-21,86,NA,NA,NA,86,NA,NA,NA
2021-02-28,88,NA,NA,NA,88,NA,NA,NA
2021-03-07,89,NA,NA,NA,89,NA,NA,NA
2021-03-14,98,NA,NA,NA,98,NA,NA,NA
2021-03-21,102,NA,NA,NA,102,NA,NA,NA
2021-03-28,105,NA,NA,NA,105,NA,NA,NA
2021-04-04,114,NA,NA,NA,114,NA,NA,NA
2021-04-11,118,NA,NA,NA,118,NA,NA,NA
2021-04-18,122,NA,NA,NA,122,NA,NA,NA
2021-04-25,127,NA,NA,NA,127,NA,NA,NA
2021-05-02,129,NA,NA,NA,129,NA,NA,NA
2021-05-09,132,NA,NA,NA,132,NA,NA,NA
2021-05-23,133,NA,NA,NA,133,NA,NA,NA
2021-05-30,134,NA,NA,NA,134,NA,NA,NA
2021-06-06,139,NA,NA,NA,139,NA,NA,NA
2021-06-13,141,NA,NA,NA,141,NA,NA,NA
2021-06-20,143,NA,NA,NA,143,NA,NA,NA
2021-06-27,144,NA,NA,NA,144,NA,NA,NA
2021-07-04,145,NA,NA,NA,145,NA,NA,NA
2021-07-11,145,NA,NA,NA,145,NA,NA,NA
2021-07-18,146,NA,NA,NA,146,NA,NA,NA
2021-07-25,146,NA,NA,NA,146,NA,NA,NA
2021-08-01,147,NA,NA,NA,147,NA,NA,NA
2021-08-08,148,NA,NA,NA,148,NA,NA,NA
2021-08-15,148,NA,NA,NA,148,NA,NA,NA
2021-08-22,149,149,149,159,149,149,149,149
2021-08-29,NA,149,149,161,NA,149,149,149
