"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,12,NA,12,NA,NA,NA
2020-03-22,12,NA,12,NA,NA,NA
2020-03-29,16,NA,16,NA,NA,NA
2020-04-05,24,NA,24,NA,NA,NA
2020-04-12,13,NA,13,NA,NA,NA
2020-04-19,14,NA,14,NA,NA,NA
2020-04-26,13,NA,13,NA,NA,NA
2020-05-03,10,NA,10,NA,NA,NA
2020-05-10,16,NA,16,NA,NA,NA
2020-05-17,23,NA,23,NA,NA,NA
2020-05-24,18,NA,18,NA,NA,NA
2020-05-31,37,NA,37,NA,NA,NA
2020-06-07,62,NA,62,NA,NA,NA
2020-06-14,47,NA,47,NA,NA,NA
2020-06-21,61,NA,61,NA,NA,NA
2020-06-28,46,NA,46,NA,NA,NA
2020-07-05,51,NA,51,NA,NA,NA
2020-07-12,54,NA,54,NA,NA,NA
2020-07-19,47,NA,47,NA,NA,NA
2020-07-26,41,NA,41,NA,NA,NA
2020-08-02,40,NA,40,NA,NA,NA
2020-08-09,31,NA,31,NA,NA,NA
2020-08-16,17,NA,17,NA,NA,NA
2020-08-23,13,NA,13,NA,NA,NA
2020-08-30,17,NA,17,NA,NA,NA
2020-09-06,21,NA,21,NA,NA,NA
2020-09-13,17,NA,17,NA,NA,NA
2020-09-20,17,NA,17,NA,NA,NA
2020-09-27,16,NA,16,NA,NA,NA
2020-10-04,19,NA,19,NA,NA,NA
2020-10-11,20,NA,20,NA,NA,NA
2020-10-18,7,NA,7,NA,NA,NA
2020-10-25,14,NA,14,NA,NA,NA
2020-11-01,11,NA,11,NA,NA,NA
2020-11-08,8,NA,8,NA,NA,NA
2020-11-15,8,NA,8,NA,NA,NA
2020-11-22,12,NA,12,NA,NA,NA
2020-11-29,25,NA,25,NA,NA,NA
2020-12-06,37,NA,37,NA,NA,NA
2020-12-13,25,NA,25,NA,NA,NA
2020-12-20,33,NA,33,NA,NA,NA
2020-12-27,23,NA,23,NA,NA,NA
2021-01-03,19,NA,19,NA,NA,NA
2021-01-10,40,NA,40,NA,NA,NA
2021-01-17,25,NA,25,NA,NA,NA
2021-01-24,33,NA,33,NA,NA,NA
2021-01-31,33,NA,33,NA,NA,NA
2021-02-07,41,NA,41,NA,NA,NA
2021-02-14,43,NA,43,NA,NA,NA
2021-02-21,38,NA,38,NA,NA,NA
2021-02-28,35,NA,35,NA,NA,NA
2021-03-07,40,NA,40,NA,NA,NA
2021-03-14,44,NA,44,NA,NA,NA
2021-03-21,40,NA,40,NA,NA,NA
2021-03-28,33,NA,33,NA,NA,NA
2021-04-04,21,NA,21,NA,NA,NA
2021-04-11,13,NA,13,NA,NA,NA
2021-04-18,20,NA,20,NA,NA,NA
2021-04-25,18,NA,18,NA,NA,NA
2021-05-02,23,NA,23,NA,NA,NA
2021-05-09,19,NA,19,NA,NA,NA
2021-05-16,26,NA,26,NA,NA,NA
2021-05-23,19,NA,19,NA,NA,NA
2021-05-30,23,NA,23,NA,NA,NA
2021-06-06,18,NA,18,NA,NA,NA
2021-06-13,13,NA,13,NA,NA,NA
2021-06-20,12,NA,12,NA,NA,NA
2021-06-27,7,NA,7,NA,NA,NA
2021-07-04,7,NA,7,NA,NA,NA
2021-07-11,9,NA,8,NA,NA,NA
2021-07-18,NA,6,6,NA,6,7
2021-07-25,NA,6,6,NA,5,10
2021-08-01,NA,9,9,NA,7,14
2021-08-08,NA,7,7,NA,5,13
2021-08-15,NA,5,5,NA,2,11
2021-08-22,NA,5,5,NA,1,12
2021-08-29,NA,5,5,NA,0,13
2021-09-05,NA,6,6,NA,0,15
2021-09-12,NA,6,6,NA,0,15
