"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,3,NA,NA,NA,3,NA,NA,NA
2020-04-12,8,NA,NA,NA,8,NA,NA,NA
2020-04-19,11,NA,NA,NA,11,NA,NA,NA
2020-04-26,16,NA,NA,NA,16,NA,NA,NA
2020-05-03,23,NA,NA,NA,23,NA,NA,NA
2020-05-10,28,NA,NA,NA,28,NA,NA,NA
2020-05-17,30,NA,NA,NA,30,NA,NA,NA
2020-05-24,35,NA,NA,NA,35,NA,NA,NA
2020-05-31,42,NA,NA,NA,42,NA,NA,NA
2020-06-07,47,NA,NA,NA,47,NA,NA,NA
2020-06-14,54,NA,NA,NA,54,NA,NA,NA
2020-06-21,67,NA,NA,NA,67,NA,NA,NA
2020-06-28,76,NA,NA,NA,76,NA,NA,NA
2020-07-05,90,NA,NA,NA,90,NA,NA,NA
2020-07-12,103,NA,NA,NA,103,NA,NA,NA
2020-07-19,116,NA,NA,NA,116,NA,NA,NA
2020-07-26,132,NA,NA,NA,132,NA,NA,NA
2020-08-02,145,NA,NA,NA,145,NA,NA,NA
2020-08-09,155,NA,NA,NA,155,NA,NA,NA
2020-08-16,162,NA,NA,NA,162,NA,NA,NA
2020-08-23,173,NA,NA,NA,173,NA,NA,NA
2020-08-30,178,NA,NA,NA,178,NA,NA,NA
2020-09-06,183,NA,NA,NA,183,NA,NA,NA
2020-09-13,192,NA,NA,NA,192,NA,NA,NA
2020-09-20,206,NA,NA,NA,206,NA,NA,NA
2020-09-27,209,NA,NA,NA,209,NA,NA,NA
2020-10-04,212,NA,NA,NA,212,NA,NA,NA
2020-10-11,215,NA,NA,NA,215,NA,NA,NA
2020-10-18,217,NA,NA,NA,217,NA,NA,NA
2020-10-25,220,NA,NA,NA,220,NA,NA,NA
2020-11-01,222,NA,NA,NA,222,NA,NA,NA
2020-11-08,223,NA,NA,NA,223,NA,NA,NA
2020-11-15,224,NA,NA,NA,224,NA,NA,NA
2020-11-22,226,NA,NA,NA,226,NA,NA,NA
2020-12-06,229,NA,NA,NA,229,NA,NA,NA
2020-12-13,235,NA,NA,NA,235,NA,NA,NA
2020-12-20,240,NA,NA,NA,240,NA,NA,NA
2020-12-27,241,NA,NA,NA,241,NA,NA,NA
2021-01-03,243,NA,NA,NA,243,NA,NA,NA
2021-01-10,248,NA,NA,NA,248,NA,NA,NA
2021-01-17,253,NA,NA,NA,253,NA,NA,NA
2021-01-24,256,NA,NA,NA,256,NA,NA,NA
2021-01-31,264,NA,NA,NA,264,NA,NA,NA
2021-02-07,274,NA,NA,NA,274,NA,NA,NA
2021-02-14,279,NA,NA,NA,279,NA,NA,NA
2021-02-21,284,NA,NA,NA,284,NA,NA,NA
2021-02-28,292,NA,NA,NA,292,NA,NA,NA
2021-03-07,311,NA,NA,NA,311,NA,NA,NA
2021-03-14,329,NA,NA,NA,329,NA,NA,NA
2021-03-21,354,NA,NA,NA,354,NA,NA,NA
2021-03-28,382,NA,NA,NA,382,NA,NA,NA
2021-04-04,403,NA,NA,NA,403,NA,NA,NA
2021-04-11,428,NA,NA,NA,428,NA,NA,NA
2021-04-18,453,NA,NA,NA,453,NA,NA,NA
2021-04-25,463,NA,NA,NA,463,NA,NA,NA
2021-05-02,475,NA,NA,NA,475,NA,NA,NA
2021-05-09,493,NA,NA,NA,493,NA,NA,NA
2021-05-16,509,NA,NA,NA,509,NA,NA,NA
2021-05-23,525,NA,NA,NA,525,NA,NA,NA
2021-05-30,534,NA,NA,NA,534,NA,NA,NA
2021-06-06,544,NA,NA,NA,544,NA,NA,NA
2021-06-13,562,NA,NA,NA,562,NA,NA,NA
2021-06-20,583,NA,NA,NA,583,NA,NA,NA
2021-06-27,598,NA,NA,NA,598,NA,NA,NA
2021-07-04,612,NA,NA,NA,612,NA,NA,NA
2021-07-11,617,NA,NA,NA,617,NA,NA,NA
2021-07-18,621,NA,NA,NA,621,NA,NA,NA
2021-07-25,628,NA,NA,NA,628,NA,NA,NA
2021-08-01,637,NA,NA,NA,637,NA,NA,NA
2021-08-08,641,NA,NA,NA,641,NA,NA,NA
2021-08-15,644,NA,NA,NA,644,NA,NA,NA
2021-08-22,656,NA,NA,NA,655,NA,NA,NA
2021-08-29,658,NA,NA,NA,657,NA,NA,NA
2021-09-05,662,NA,NA,NA,661,NA,NA,NA
2021-09-12,667,667,659,697,663,663,663,663
2021-09-19,NA,671,661,707,NA,663,663,663
