"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-26,1,NA,NA,NA,1,NA,NA,NA
2020-05-17,2,NA,NA,NA,2,NA,NA,NA
2020-05-31,3,NA,NA,NA,3,NA,NA,NA
2020-06-07,4,NA,NA,NA,4,NA,NA,NA
2020-06-14,5,NA,NA,NA,5,NA,NA,NA
2020-07-12,6,NA,NA,NA,6,NA,NA,NA
2020-07-19,15,NA,NA,NA,15,NA,NA,NA
2020-07-26,19,NA,NA,NA,19,NA,NA,NA
2020-08-02,29,NA,NA,NA,29,NA,NA,NA
2020-08-09,33,NA,NA,NA,33,NA,NA,NA
2020-08-23,35,NA,NA,NA,35,NA,NA,NA
2020-08-30,37,NA,NA,NA,37,NA,NA,NA
2020-09-06,40,NA,NA,NA,40,NA,NA,NA
2020-09-13,44,NA,NA,NA,44,NA,NA,NA
2020-10-04,45,NA,NA,NA,45,NA,NA,NA
2020-10-11,47,NA,NA,NA,47,NA,NA,NA
2020-10-18,48,NA,NA,NA,48,NA,NA,NA
2020-11-01,49,NA,NA,NA,49,NA,NA,NA
2020-11-08,52,NA,NA,NA,52,NA,NA,NA
2020-11-22,55,NA,NA,NA,55,NA,NA,NA
2020-11-29,57,NA,NA,NA,57,NA,NA,NA
2020-12-06,59,NA,NA,NA,59,NA,NA,NA
2020-12-13,60,NA,NA,NA,60,NA,NA,NA
2020-12-20,62,NA,NA,NA,62,NA,NA,NA
2020-12-27,65,NA,NA,NA,65,NA,NA,NA
2021-01-03,70,NA,NA,NA,70,NA,NA,NA
2021-01-10,71,NA,NA,NA,71,NA,NA,NA
2021-01-17,75,NA,NA,NA,75,NA,NA,NA
2021-01-24,76,NA,NA,NA,76,NA,NA,NA
2021-01-31,80,NA,NA,NA,80,NA,NA,NA
2021-02-07,82,NA,NA,NA,82,NA,NA,NA
2021-02-14,84,NA,NA,NA,84,NA,NA,NA
2021-02-21,90,NA,NA,NA,90,NA,NA,NA
2021-02-28,94,NA,NA,NA,94,NA,NA,NA
2021-03-07,100,NA,NA,NA,100,NA,NA,NA
2021-03-14,108,NA,NA,NA,108,NA,NA,NA
2021-03-21,111,NA,NA,NA,111,NA,NA,NA
2021-03-28,116,NA,NA,NA,116,NA,NA,NA
2021-04-04,120,NA,NA,NA,120,NA,NA,NA
2021-04-11,126,NA,NA,NA,126,NA,NA,NA
2021-04-18,133,NA,NA,NA,133,NA,NA,NA
2021-04-25,137,NA,NA,NA,137,NA,NA,NA
2021-05-02,150,NA,NA,NA,150,NA,NA,NA
2021-05-09,162,NA,NA,NA,162,NA,NA,NA
2021-05-16,173,NA,NA,NA,173,NA,NA,NA
2021-05-23,186,NA,NA,NA,186,NA,NA,NA
2021-05-30,208,NA,NA,NA,208,NA,NA,NA
2021-06-06,218,NA,NA,NA,218,NA,NA,NA
2021-06-13,235,NA,NA,NA,235,NA,NA,NA
2021-06-20,249,NA,NA,NA,249,NA,NA,NA
2021-06-27,258,NA,NA,NA,258,NA,NA,NA
2021-07-04,264,NA,NA,NA,264,NA,NA,NA
2021-07-11,269,NA,NA,NA,269,NA,NA,NA
2021-07-18,270,NA,NA,NA,270,NA,NA,NA
2021-07-25,274,NA,NA,NA,274,NA,NA,NA
2021-08-01,276,NA,NA,NA,276,NA,NA,NA
2021-08-08,277,NA,NA,NA,277,NA,NA,NA
2021-08-15,286,NA,NA,NA,284,NA,NA,NA
2021-08-22,291,291,285,321,285,285,285,285
2021-08-29,NA,299,290,337,NA,285,285,286
