"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-05,2,NA,2,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-03,1,NA,1,NA,NA,NA
2020-05-10,3,NA,3,NA,NA,NA
2020-05-17,2,NA,2,NA,NA,NA
2020-05-24,1,NA,1,NA,NA,NA
2020-06-07,1,NA,1,NA,NA,NA
2020-06-14,2,NA,2,NA,NA,NA
2020-06-21,4,NA,4,NA,NA,NA
2020-06-28,3,NA,3,NA,NA,NA
2020-07-05,2,NA,2,NA,NA,NA
2020-07-12,5,NA,5,NA,NA,NA
2020-07-19,5,NA,5,NA,NA,NA
2020-07-26,10,NA,10,NA,NA,NA
2020-08-02,10,NA,10,NA,NA,NA
2020-08-09,7,NA,7,NA,NA,NA
2020-08-16,9,NA,9,NA,NA,NA
2020-08-23,18,NA,18,NA,NA,NA
2020-08-30,7,NA,7,NA,NA,NA
2020-09-06,10,NA,10,NA,NA,NA
2020-09-13,9,NA,9,NA,NA,NA
2020-09-20,11,NA,11,NA,NA,NA
2020-09-27,7,NA,7,NA,NA,NA
2020-10-04,10,NA,10,NA,NA,NA
2020-10-11,7,NA,7,NA,NA,NA
2020-10-18,6,NA,6,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,3,NA,3,NA,NA,NA
2020-11-22,5,NA,5,NA,NA,NA
2020-11-29,3,NA,3,NA,NA,NA
2020-12-06,11,NA,11,NA,NA,NA
2020-12-13,9,NA,9,NA,NA,NA
2020-12-20,7,NA,7,NA,NA,NA
2020-12-27,8,NA,8,NA,NA,NA
2021-01-03,5,NA,5,NA,NA,NA
2021-01-10,7,NA,7,NA,NA,NA
2021-01-17,7,NA,7,NA,NA,NA
2021-01-24,9,NA,9,NA,NA,NA
2021-01-31,6,NA,6,NA,NA,NA
2021-02-07,10,NA,10,NA,NA,NA
2021-02-14,7,NA,7,NA,NA,NA
2021-02-21,6,NA,6,NA,NA,NA
2021-02-28,11,NA,11,NA,NA,NA
2021-03-07,22,NA,22,NA,NA,NA
2021-03-14,23,NA,23,NA,NA,NA
2021-03-21,30,NA,30,NA,NA,NA
2021-03-28,50,NA,50,NA,NA,NA
2021-04-04,40,NA,40,NA,NA,NA
2021-04-11,34,NA,34,NA,NA,NA
2021-04-18,41,NA,41,NA,NA,NA
2021-04-25,30,NA,30,NA,NA,NA
2021-05-02,24,NA,24,NA,NA,NA
2021-05-09,33,NA,33,NA,NA,NA
2021-05-16,26,NA,26,NA,NA,NA
2021-05-23,25,NA,25,NA,NA,NA
2021-05-30,19,NA,19,NA,NA,NA
2021-06-06,33,NA,33,NA,NA,NA
2021-06-13,27,NA,27,NA,NA,NA
2021-06-20,34,NA,34,NA,NA,NA
2021-06-27,21,NA,21,NA,NA,NA
2021-07-04,14,NA,14,NA,NA,NA
2021-07-11,12,NA,12,NA,NA,NA
2021-07-18,NA,15,15,NA,15,17
2021-07-25,NA,10,10,NA,10,12
2021-08-01,NA,3,3,NA,3,4
2021-08-08,NA,8,8,NA,8,9
2021-08-15,NA,4,4,NA,4,5
2021-08-22,NA,4,4,NA,4,5
2021-08-29,NA,7,7,NA,7,8
2021-09-05,NA,4,4,NA,4,5
2021-09-12,NA,5,5,NA,3,9
